fold,model,cutoff,rmse,mae,order
1,ARIMA,2024-02-01,249.86098419513058,213.1411770465614,"(1, 0, 0)"
1,Prophet,2024-02-01,3451.2710389277227,3153.4554846142087,
2,ARIMA,2024-04-01,228.51130522393325,185.86000772926613,"(1, 0, 0)"
2,Prophet,2024-04-01,527.9294376946393,488.7772871057047,
3,ARIMA,2024-06-01,206.73299936440858,187.72589173923825,"(1, 1, 0)"
3,Prophet,2024-06-01,470.76524282005204,445.5635753844026,
4,ARIMA,2024-08-01,254.9567853520643,212.24292837685758,"(1, 1, 0)"
4,Prophet,2024-08-01,411.22871292623535,361.1082663252976,
5,ARIMA,2024-10-01,472.9813692683054,428.51913256333347,"(1, 0, 0)"
5,Prophet,2024-10-01,173.93144605172773,136.82046797695784,
6,ARIMA,2024-12-01,332.50875994935467,279.47534310558086,"(0, 2, 1)"
6,Prophet,2024-12-01,309.6136086952944,202.71145067207848,
7,ARIMA,2025-02-01,671.2400872830524,668.9942174974349,"(1, 1, 0)"
7,Prophet,2025-02-01,127.13078176954681,108.75852556100381,
8,ARIMA,2025-04-01,210.43250444693177,153.26711888520245,"(1, 0, 0)"
8,Prophet,2025-04-01,213.70339149331207,196.8940235710852,
9,ARIMA,2025-06-01,251.71381631815242,212.96823694445084,"(1, 0, 0)"
9,Prophet,2025-06-01,225.30034482560885,172.71175379292222,
10,ARIMA,2025-08-01,322.99605150908116,255.11103746625272,"(2, 0, 2)"
10,Prophet,2025-08-01,175.9784669219761,129.1427300359816,
11,ARIMA,2025-10-01,225.81538822805473,217.72117772093256,"(2, 0, 2)"
11,Prophet,2025-10-01,77.03196625929048,75.625782136216,
