k,silhouette,davies_bouldin,inertia
3,0.39147785496845156,0.8975466331555119,135671.68606585317
4,0.4261288840397736,0.7980791807877324,93101.23550562651
5,0.4157846803169357,0.803855973886369,76631.03261317812
6,0.4149497010534595,0.8296577891730017,62580.7810870655
7,0.4285362491624339,0.767195028680712,52074.837055796794
8,0.42027188104263313,0.7880079416955179,46662.5555576315
9,0.4263332929998121,0.7259047762914795,40946.88213319692
10,0.4173055389293356,0.7545627717356531,36657.059579079316
11,0.3960105141350528,0.8314864602453881,33085.6048396345
12,0.40383168027532584,0.8180304804328901,29623.891668016586
